Workload,Prefetcher,Cycles,mshr_full,prefetch_requested,prefetch_issued,l1D_prefetch_useful,l1D_prefetch_useless,l1D_prefetch_late,l2_prefetch_useful,l2_prefetch_useless,llc_load_miss,PQ_FULL,PQ_MERGED
602.gcc_s-1850B,no,323704818,1217437,0,0,0,0,0,0,0,3555228,0,0
602.gcc_s-1850B,ipcp_l1,137155492,2144175,14095560,14019114,4128369,918061,614859,0,0,252886,76446,0
602.gcc_s-1850B,gaze,141468798,459684,7480021,7480021,3196921,90310,296982,58900,126325,282318,0,39060
602.gcc_s-1850B,gaze_ipcp_l1,133752191,925021,14048965,14003957,4067712,404523,399204,49542,156519,209662,45008,294750
602.gcc_s-2226B,no,263663563,130980313,0,0,0,0,0,0,0,14004651,0,0
602.gcc_s-2226B,ipcp_l1,229431055,238367635,18834562,13407889,3230608,891517,2145532,0,0,10773051,5426673,408
602.gcc_s-2226B,gaze,223519221,107835488,8045945,8045945,3290619,423270,2430300,1545524,1088796,9135602,0,142410
602.gcc_s-2226B,gaze_ipcp_l1,217672925,211040283,22339576,19021073,3391751,570620,2399170,1502017,1170388,9102804,3318503,1611674
602.gcc_s-734B,no,245449775,11885,0,0,0,0,0,0,0,1621456,0,0
602.gcc_s-734B,ipcp_l1,105548516,1097885,4649130,4587406,3064738,445926,15092,0,0,62994,61724,119
602.gcc_s-734B,gaze,119667640,235963,3493014,3493014,1489270,110303,4101,1929,83433,149051,0,161
602.gcc_s-734B,gaze_ipcp_l1,108856388,325202,6839203,6820298,3060706,202687,92409,792,77876,62695,18905,29231
603.bwaves_s-1740B,no,310519385,66390281,0,0,0,0,0,0,0,3703078,0,0
603.bwaves_s-1740B,ipcp_l1,146817444,50299336,105593629,14641765,2935318,5104,400597,0,0,938669,90951864,292387
603.bwaves_s-1740B,gaze,117619523,16316735,6329457,6329457,2977483,267,190698,178634,19814,546742,0,729
603.bwaves_s-1740B,gaze_ipcp_l1,126996442,21622691,41695641,14392199,3167588,2444,420207,143112,24183,553898,27303442,249072
603.bwaves_s-2609B,no,307813878,65646219,0,0,0,0,0,0,0,3703084,0,0
603.bwaves_s-2609B,ipcp_l1,146508491,49349417,105895444,14655962,2918501,5299,416184,0,0,947403,91239482,273627
603.bwaves_s-2609B,gaze,118116832,17102904,6301979,6301979,2952690,360,180359,185270,17487,564855,0,493
603.bwaves_s-2609B,gaze_ipcp_l1,126070363,20961060,41834166,14339554,3166702,2874,412543,143847,21732,552250,27494612,248102
605.mcf_s-1536B,no,572296925,19653,0,0,0,0,0,0,0,5040748,0,0
605.mcf_s-1536B,ipcp_l1,804803026,347825256,15199377,15152150,1071612,12097856,215354,0,0,2971594,47227,0
605.mcf_s-1536B,gaze,612186307,20471262,2195797,2195797,764042,1413845,66448,0,0,5011535,0,2
605.mcf_s-1536B,gaze_ipcp_l1,819840908,401346601,16697979,16628580,1354560,12686040,207133,0,0,2978415,69399,41047
607.cactuBSSN_s-3477B,no,85591375,14796089,0,0,0,0,0,0,0,409064,0,0
607.cactuBSSN_s-3477B,ipcp_l1,85711141,14864967,0,0,0,0,0,0,0,409023,0,0
607.cactuBSSN_s-3477B,gaze,80309589,20566094,2806051,2806051,513026,583769,130836,0,0,316984,0,3486
607.cactuBSSN_s-3477B,gaze_ipcp_l1,80274618,20955237,2862336,2862336,528840,578896,132167,0,0,317915,0,3472
619.lbm_s-2676B,no,465639031,73316824,0,0,0,0,0,0,0,1094559,0,0
619.lbm_s-2676B,ipcp_l1,419778566,676237307,1116554,1115490,939041,0,188957,0,0,155520,1064,0
619.lbm_s-2676B,gaze,411443901,452875874,960181,960181,939245,0,198848,829,0,154484,0,0
619.lbm_s-2676B,gaze_ipcp_l1,405780414,549465429,2026477,2022933,955182,0,202487,711,157,138665,3544,26237
620.omnetpp_s-141B,no,376256519,298,0,0,0,0,0,0,0,1905360,0,0
620.omnetpp_s-141B,ipcp_l1,403521136,1255227,6054193,6050835,294043,2044085,28979,0,0,1815235,3358,0
620.omnetpp_s-141B,gaze,393919310,1781213,1212707,1212707,171933,940171,51586,0,0,1821516,0,39
620.omnetpp_s-141B,gaze_ipcp_l1,421609536,4573679,7268439,7260713,459502,2978943,76444,0,0,1741025,7726,34197
623.xalancbmk_s-10B,no,340465714,348785,0,0,0,0,0,0,0,4489462,0,0
623.xalancbmk_s-10B,ipcp_l1,364363026,1844772,6752967,6545424,606724,3202131,94118,0,0,4046655,207543,2
623.xalancbmk_s-10B,gaze,342085527,3101329,3816455,3816455,528505,2019141,53555,26088,452687,4148805,0,647
623.xalancbmk_s-10B,gaze_ipcp_l1,372811027,15646671,10164525,9888307,902378,4864921,141376,19779,368266,3848589,276218,437726
627.cam4_s-490B,no,102337704,12979990,0,0,0,0,0,0,0,476977,0,0
627.cam4_s-490B,ipcp_l1,94986792,30860613,5255109,4787833,1884353,71265,272750,0,0,135317,467276,1560
627.cam4_s-490B,gaze,93459254,16355768,3491778,3491778,1486774,58167,194386,151589,53310,180145,0,54726
627.cam4_s-490B,gaze_ipcp_l1,94046947,23763747,7011105,6720320,1690356,64026,341339,120333,46295,152351,290785,323274
628.pop2_s-17B,no,89182255,7051360,0,0,0,0,0,0,0,450210,0,0
628.pop2_s-17B,ipcp_l1,82592759,14771466,14285637,8758680,1505662,382500,186460,0,0,68867,5526957,43589
628.pop2_s-17B,gaze,81171265,8826757,2371057,2371057,909970,297771,88590,45483,145705,86263,0,14249
628.pop2_s-17B,gaze_ipcp_l1,80564934,11653472,6976472,6573168,1458545,362463,306092,33723,134472,41623,403304,93221
649.fotonik3d_s-8225B,no,165346265,0,0,0,0,0,0,0,0,1753970,0,0
649.fotonik3d_s-8225B,ipcp_l1,103739253,64961,2592585,2591675,2509429,11425,787388,0,0,96507,910,0
649.fotonik3d_s-8225B,gaze,87751846,42343,5696919,5696919,2419600,10037,283678,328992,847,110587,0,118717
649.fotonik3d_s-8225B,gaze_ipcp_l1,91444799,54177,8238432,8212380,2378389,10644,335749,448876,6069,113119,26052,978503
654.roms_s-294B,no,153686211,177187,0,0,0,0,0,0,0,2125979,0,0
654.roms_s-294B,ipcp_l1,94220417,3683482,17558329,9985946,2138337,188688,126395,0,0,429737,7572383,33353
654.roms_s-294B,gaze,81697913,1854873,4925923,4925923,2312461,192220,70072,1189,835978,201771,0,2051
654.roms_s-294B,gaze_ipcp_l1,78695469,1692598,9597801,8486829,2497362,196170,190587,1485,795566,124996,1110972,118331
