Workload,Prefetcher,Cycles,mshr_full,prefetch_requested,prefetch_issued,l1D_prefetch_useful,l1D_prefetch_useless,l1D_prefetch_late,l1d_load_miss,l2_prefetch_useful,l2_prefetch_useless,llc_load_miss,PQ_FULL,PQ_MERGED
bwaves_s-1740B,no,310519385,66390281,0,0,0,0,0,10375453,0,0,3703078,0,0
bwaves_s-1740B,gaze,117619523,16316735,6329457,6329457,2977483,267,190698,2480478,178634,19814,546742,0,729
bwaves_s-1740B,gaze_ipcp_l1,126996442,21622691,41695641,14392199,3167588,2444,420207,2696221,143112,24183,553898,27303442,249072
bwaves_s-1740B,ipcp_l1,146817444,50299336,105593629,14641765,2935318,5104,400597,3554541,0,0,938669,90951864,292387
bwaves_s-1740B,vberti,146403579,13447014,229345414,25743028,2647468,281,336703,3832936,386280,373648,859860,203602386,79811
bwaves_s-1740B,gaze_vberti,137836183,10395030,231610978,25707953,2775333,538,359223,3480226,372012,359215,744536,205903025,92988
bwaves_s-2609B,no,307813878,65646219,0,0,0,0,0,10330856,0,0,3703084,0,0
bwaves_s-2609B,gaze,118116832,17102904,6301979,6301979,2952690,360,180359,2516378,185270,17487,564855,0,493
bwaves_s-2609B,gaze_ipcp_l1,126070363,20961060,41834166,14339554,3166702,2874,412543,2669991,143847,21732,552250,27494612,248102
bwaves_s-2609B,ipcp_l1,146508491,49349417,105895444,14655962,2918501,5299,416184,3611927,0,0,947403,91239482,273627
bwaves_s-2609B,vberti,147863851,13256562,228849297,25628466,2626374,320,362320,3934421,401193,345812,865982,203220831,79856
bwaves_s-2609B,gaze_vberti,140391695,10571141,230597698,25628533,2742713,511,384798,3624599,382434,339831,766587,204969165,84760
cactuBSSN_s-3477B,no,85591375,14796089,0,0,0,0,0,17048066,0,0,409064,0,0
cactuBSSN_s-3477B,gaze,80309589,20566094,2806051,2806051,513026,583769,130836,17054743,0,0,316984,0,3486
cactuBSSN_s-3477B,gaze_ipcp_l1,80274618,20955237,2862336,2862336,528840,578896,132167,17016531,0,0,317915,0,3472
cactuBSSN_s-3477B,ipcp_l1,85711141,14864967,0,0,0,0,0,17070429,0,0,409023,0,0
cactuBSSN_s-3477B,vberti,85785506,14741018,51846,51846,0,0,0,16895115,246,1727,408969,0,0
cactuBSSN_s-3477B,gaze_vberti,80339045,19939549,2485833,2485833,474657,610685,136596,17127732,184,1130,309730,0,139
cam4_s-490B,no,102337704,12979990,0,0,0,0,0,10453077,0,0,476977,0,0
cam4_s-490B,gaze,93459254,16355768,3491778,3491778,1486774,58167,194386,4966451,151589,53310,180145,0,54726
cam4_s-490B,gaze_ipcp_l1,94046947,23763747,7011105,6720320,1690356,64026,341339,4935862,120333,46295,152351,290785,323274
cam4_s-490B,ipcp_l1,94986792,30860613,5255109,4787833,1884353,71265,272750,4070352,0,0,135317,467276,1560
cam4_s-490B,vberti,93241931,22635622,178159623,29656585,1699821,13205,104944,3516974,200895,62093,138176,148503038,808306
cam4_s-490B,gaze_vberti,92940261,24156485,190195968,32519998,1754136,59862,137717,3429071,209373,109656,115084,157675970,782529
fotonik3d_s-10881B,no,371086769,70264482,0,0,0,0,0,11302204,0,0,3959600,0,0
fotonik3d_s-10881B,gaze,368198348,117397412,4424059,4424059,1940732,754504,158947,7073180,31610,744673,2473734,0,463
fotonik3d_s-10881B,gaze_ipcp_l1,382893578,191157890,9261524,7464941,2224186,1343557,291877,6843167,12316,460451,2287969,1796583,142011
fotonik3d_s-10881B,ipcp_l1,396563689,208009121,7400398,5829393,1535921,1290933,166313,8326898,0,0,2852846,1571005,288
fotonik3d_s-10881B,vberti,376925100,139329229,281338250,11821038,2282506,253324,127928,4434827,1171103,853773,1250886,269517212,34888
fotonik3d_s-10881B,gaze_vberti,377140475,138966890,284254798,12057073,2343233,457764,135074,4432670,1081965,841434,1279351,272197725,43377
fotonik3d_s-8225B,no,165346265,0,0,0,0,0,0,16728852,0,0,1753970,0,0
fotonik3d_s-8225B,gaze,87751846,42343,5696919,5696919,2419600,10037,283678,3154544,328992,847,110587,0,118717
fotonik3d_s-8225B,gaze_ipcp_l1,91444799,54177,8238432,8212380,2378389,10644,335749,3712578,448876,6069,113119,26052,978503
fotonik3d_s-8225B,ipcp_l1,103739253,64961,2592585,2591675,2509429,11425,787388,6219284,0,0,96507,910,0
fotonik3d_s-8225B,vberti,136123022,5838781,74238322,12174854,2374607,11371,392443,3792134,637632,12209,35339,62063468,202086
fotonik3d_s-8225B,gaze_vberti,135743418,5468594,80788425,11951815,2279702,14032,384415,4203082,715289,15192,63672,68836610,181949
gcc_s-1850B,no,323704818,1217437,0,0,0,0,0,13484113,0,0,3555228,0,0
gcc_s-1850B,gaze,141468798,459684,7480021,7480021,3196921,90310,296982,4280296,58900,126325,282318,0,39060
gcc_s-1850B,gaze_ipcp_l1,133752191,925021,14048965,14003957,4067712,404523,399204,2890977,49542,156519,209662,45008,294750
gcc_s-1850B,ipcp_l1,137155492,2144175,14095560,14019114,4128369,918061,614859,3451196,0,0,252886,76446,0
gcc_s-1850B,vberti,121482072,1067655,79386496,53808872,3372727,177803,148190,2723162,119679,756648,83044,25577624,1676716
gcc_s-1850B,gaze_vberti,119925647,967448,89050895,56938497,3476325,233264,118392,2402448,33565,655447,70129,32112398,1417836
gcc_s-2226B,no,263663563,130980313,0,0,0,0,0,58317104,0,0,14004651,0,0
gcc_s-2226B,gaze,223519221,107835488,8045945,8045945,3290619,423270,2430300,54400335,1545524,1088796,9135602,0,142410
gcc_s-2226B,gaze_ipcp_l1,217672925,211040283,22339576,19021073,3391751,570620,2399170,54640904,1502017,1170388,9102804,3318503,1611674
gcc_s-2226B,ipcp_l1,229431055,238367635,18834562,13407889,3230608,891517,2145532,54566436,0,0,10773051,5426673,408
gcc_s-2226B,vberti,239850241,222036183,1294947718,27520517,2499780,266179,1928002,52883774,2380629,1588514,9119757,1267427201,1612408
gcc_s-2226B,gaze_vberti,222621589,194453700,1470145402,35601540,3610754,447636,2428684,50820498,2199011,2204389,8175678,1434543862,1868350
gcc_s-734B,no,245449775,11885,0,0,0,0,0,8823924,0,0,1621456,0,0
gcc_s-734B,gaze,119667640,235963,3493014,3493014,1489270,110303,4101,5220351,1929,83433,149051,0,161
gcc_s-734B,gaze_ipcp_l1,108856388,325202,6839203,6820298,3060706,202687,92409,671281,792,77876,62695,18905,29231
gcc_s-734B,ipcp_l1,105548516,1097885,4649130,4587406,3064738,445926,15092,422129,0,0,62994,61724,119
gcc_s-734B,vberti,113892941,83130,178748383,62703484,3034869,253943,1875,383471,23976,113636,62576,116044899,375391
gcc_s-734B,gaze_vberti,112064280,318741,187012451,65222190,3056717,319465,2865,337850,14162,161046,48868,121790261,531403
lbm_s-2676B,no,465639031,73316824,0,0,0,0,0,6634036,0,0,1094559,0,0
lbm_s-2676B,gaze,411443901,452875874,960181,960181,939245,0,198848,1978344,829,0,154484,0,0
lbm_s-2676B,gaze_ipcp_l1,405780414,549465429,2026477,2022933,955182,0,202487,1809196,711,157,138665,3544,26237
lbm_s-2676B,ipcp_l1,419778566,676237307,1116554,1115490,939041,0,188957,1898812,0,0,155520,1064,0
lbm_s-2676B,vberti,436754506,556992498,444646861,4874574,378243,0,765,3891436,471256,51274,245062,439772287,120827
lbm_s-2676B,gaze_vberti,420358765,816266381,1018764579,4006815,838533,0,95669,1605153,194519,116901,61506,1014757764,153265
mcf_s-1536B,no,572296925,19653,0,0,0,0,0,19229732,0,0,5040748,0,0
mcf_s-1536B,gaze,612186307,20471262,2195797,2195797,764042,1413845,66448,18656999,0,0,5011535,0,2
mcf_s-1536B,gaze_ipcp_l1,819840908,401346601,16697979,16628580,1354560,12686040,207133,19286488,0,0,2978415,69399,41047
mcf_s-1536B,ipcp_l1,804803026,347825256,15199377,15152150,1071612,12097856,215354,19554573,0,0,2971594,47227,0
mcf_s-1536B,vberti,593916277,24488,19163021,19072953,915099,552954,11126,18411612,1648420,3125085,5000613,90068,23263
mcf_s-1536B,gaze_vberti,611293084,15165303,27709502,20958411,1417379,1826759,62531,17991621,1447254,2760984,4999510,6751091,48273
mcf_s-665B,no,295661578,1764037,0,0,0,0,0,8999951,0,0,1722979,0,0
mcf_s-665B,gaze,263927297,3675993,2366259,2366259,1084025,237917,27441,5980029,166527,14576,615048,0,1115
mcf_s-665B,gaze_ipcp_l1,292180186,10251151,14529264,14094825,1834283,4517945,64035,5544384,53390,15458,728300,434439,51007
mcf_s-665B,ipcp_l1,298484509,11252718,13032436,12604808,1838010,4320109,232705,5970864,0,0,765134,427628,30
mcf_s-665B,vberti,258687438,1605178,69715235,45505795,1263351,12606,3634,5247939,60655,76068,529702,24209440,1073233
mcf_s-665B,gaze_vberti,261860002,2148083,61260852,45325224,1355341,239194,4445,5011687,56502,92611,535685,15935628,1026359
omnetpp_s-141B,no,376256519,298,0,0,0,0,0,5884700,0,0,1905360,0,0
omnetpp_s-141B,gaze,393919310,1781213,1212707,1212707,171933,940171,51586,5662813,0,0,1821516,0,39
omnetpp_s-141B,gaze_ipcp_l1,421609536,4573679,7268439,7260713,459502,2978943,76444,5799262,0,0,1741025,7726,34197
omnetpp_s-141B,ipcp_l1,403521136,1255227,6054193,6050835,294043,2044085,28979,5907827,0,0,1815235,3358,0
omnetpp_s-141B,vberti,376084619,288,8357,8357,485,1334,8,5881511,854,3515,1904129,0,9
omnetpp_s-141B,gaze_vberti,393378054,1733909,1220247,1219378,171957,947570,50701,5827824,343,1473,1820276,869,16
pop2_s-17B,no,89182255,7051360,0,0,0,0,0,6446815,0,0,450210,0,0
pop2_s-17B,gaze,81171265,8826757,2371057,2371057,909970,297771,88590,3584394,45483,145705,86263,0,14249
pop2_s-17B,gaze_ipcp_l1,80564934,11653472,6976472,6573168,1458545,362463,306092,2671923,33723,134472,41623,403304,93221
pop2_s-17B,ipcp_l1,82592759,14771466,14285637,8758680,1505662,382500,186460,2401847,0,0,68867,5526957,43589
pop2_s-17B,vberti,83127996,11326097,87170623,19575139,1039560,176470,75677,3184883,117569,82507,133810,67595484,874170
pop2_s-17B,gaze_vberti,80764905,11349468,93452062,20994332,1334261,367639,103022,2342699,105719,123579,56516,72457730,865669
roms_s-294B,no,153686211,177187,0,0,0,0,0,14978588,0,0,2125979,0,0
roms_s-294B,gaze,81697913,1854873,4925923,4925923,2312461,192220,70072,1774851,1189,835978,201771,0,2051
roms_s-294B,gaze_ipcp_l1,78695469,1692598,9597801,8486829,2497362,196170,190587,1726174,1485,795566,124996,1110972,118331
roms_s-294B,ipcp_l1,94220417,3683482,17558329,9985946,2138337,188688,126395,3111630,0,0,429737,7572383,33353
roms_s-294B,vberti,73360028,4662870,185932741,18601850,2231090,213763,82263,1554045,139313,305634,150971,167330891,166082
roms_s-294B,gaze_vberti,74072033,4215127,189768392,18864216,2238983,214640,80560,1572520,127247,321182,163154,170904176,328173
roms_s-523B,no,296689777,191025,0,0,0,0,0,30944596,0,0,3231549,0,0
roms_s-523B,gaze,241505491,55759954,5097055,5097055,2408095,126543,646632,12192036,258034,539931,581878,0,38663
roms_s-523B,gaze_ipcp_l1,258440094,175411283,14476880,9899243,2768680,181370,964435,12606132,58317,316576,430186,4577637,420881
roms_s-523B,ipcp_l1,271165116,201993404,11522135,7314122,2757148,172845,1172713,15203167,0,0,477059,4208013,50756
roms_s-523B,vberti,264553796,116586185,463167703,19122604,2102201,161569,458026,11271021,620800,716914,542472,444045099,558041
roms_s-523B,gaze_vberti,261156507,113825695,481748544,19588476,2152985,163680,470645,11031312,582110,692184,526857,462160068,488251
xalancbmk_s-10B,no,340465714,348785,0,0,0,0,0,11561243,0,0,4489462,0,0
xalancbmk_s-10B,gaze,342085527,3101329,3816455,3816455,528505,2019141,53555,11226474,26088,452687,4148805,0,647
xalancbmk_s-10B,gaze_ipcp_l1,372811027,15646671,10164525,9888307,902378,4864921,141376,9767736,19779,368266,3848589,276218,437726
